epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta_start,mean_beta_end,mean_t_switch
207,0.143365,0.142041,0.132379,0.859562,49.4215,13.8159,6.1846,0.9278,0.4380,0.5743
208,0.143423,0.142102,0.132146,0.859948,50.6094,13.8367,6.1316,0.9659,0.4572,0.5869
209,0.143420,0.142058,0.136240,0.856805,49.4828,13.8385,6.1519,0.9740,0.4404,0.5745
210,0.143345,0.141974,0.137098,0.860250,50.2402,13.9217,6.1221,0.9846,0.4633,0.5771
211,0.143327,0.141846,0.148082,0.858469,49.5127,13.9366,6.1813,0.9804,0.4609,0.5792
212,0.143350,0.141918,0.143225,0.858194,50.5216,13.9365,6.1730,0.9621,0.4506,0.5794
213,0.143303,0.141982,0.132189,0.859082,49.6380,13.9548,6.1784,0.9450,0.4680,0.5816
214,0.143275,0.141882,0.139301,0.857914,50.3151,14.0191,6.1719,0.9824,0.4628,0.5866
215,0.143241,0.141843,0.139813,0.858106,49.5562,14.0093,6.2161,0.9577,0.4346,0.5760
216,0.143117,0.141844,0.127275,0.858305,50.6185,14.0094,6.1621,1.0160,0.4558,0.5856
217,0.143115,0.141756,0.135944,0.861469,49.4132,14.0421,6.1991,1.0011,0.4603,0.5784
218,0.143155,0.141792,0.136301,0.858442,50.2991,14.0778,6.1884,1.0037,0.4216,0.5868
219,0.143334,0.141954,0.138006,0.862729,50.0934,14.0531,6.1895,0.9468,0.4187,0.5826
220,0.143381,0.142206,0.117583,0.859380,49.7985,14.0956,6.2098,0.9531,0.4345,0.5807
221,0.143309,0.141990,0.131901,0.861595,50.2743,14.0541,6.2170,0.9463,0.4407,0.5823
222,0.143610,0.142252,0.135855,0.860533,49.5620,14.0730,6.1863,0.9702,0.4604,0.5802
223,0.143272,0.141972,0.129964,0.862168,49.9585,14.1170,6.2067,0.9629,0.4597,0.5778
224,0.143133,0.141924,0.120964,0.857180,49.7370,14.1556,6.1919,0.9775,0.4633,0.5843
225,0.143104,0.141612,0.149194,0.858610,49.8547,14.1680,6.2363,0.9839,0.4491,0.5812
226,0.143080,0.141789,0.129092,0.857954,50.0132,14.1653,6.1945,1.0261,0.4831,0.5838
227,0.143036,0.141611,0.142524,0.856678,49.5694,14.2115,6.2496,1.0226,0.4546,0.5798
228,0.143066,0.141657,0.140837,0.857340,49.9736,14.2048,6.2192,1.0328,0.4429,0.5854
229,0.143007,0.141614,0.139223,0.857295,49.9980,14.2457,6.2422,0.9934,0.4449,0.5794
230,0.143254,0.141867,0.138639,0.858806,50.0114,14.2258,6.1957,1.0421,0.4513,0.5891
231,0.143170,0.141809,0.136104,0.858764,49.7499,14.2275,6.2587,1.0078,0.4619,0.5766
232,0.143160,0.141749,0.141080,0.858125,50.3742,14.2280,6.2247,1.0177,0.4661,0.5856
233,0.143218,0.141866,0.135164,0.858365,49.6086,14.2567,6.2800,0.9709,0.4703,0.5724
234,0.142942,0.141747,0.119482,0.860736,50.5203,14.2779,6.2636,1.0341,0.4782,0.5803
235,0.142850,0.141404,0.144640,0.856842,49.6194,14.2635,6.3120,1.0261,0.4639,0.5795
236,0.142867,0.141591,0.127600,0.859535,50.4166,14.2744,6.2513,1.0569,0.4617,0.5798
237,0.143044,0.141673,0.137080,0.858638,49.6337,14.2804,6.2789,1.0422,0.4627,0.5703
238,0.143073,0.141710,0.136313,0.860196,50.1889,14.3354,6.2719,1.0558,0.4519,0.5734
239,0.143115,0.141737,0.137873,0.858619,49.8148,14.2978,6.2692,0.9923,0.4319,0.5672
240,0.143163,0.141901,0.126222,0.858803,50.4507,14.3398,6.2661,0.9901,0.4446,0.5765
241,0.143121,0.141768,0.135284,0.857640,49.5589,14.3786,6.3340,0.9215,0.4541,0.5695
242,0.143025,0.141566,0.145902,0.857315,50.7287,14.3733,6.2533,0.9547,0.4486,0.5793
243,0.143187,0.141914,0.127290,0.862409,49.6175,14.3865,6.3056,0.9796,0.4770,0.5662
244,0.142849,0.141513,0.133563,0.855489,50.2545,14.4177,6.3077,1.0029,0.4739,0.5787
245,0.143096,0.141486,0.160983,0.861323,50.3989,14.3800,6.3070,0.9839,0.4234,0.5674
246,0.143207,0.141952,0.125418,0.857912,49.7540,14.3797,6.2707,1.0142,0.4360,0.5740
247,0.143214,0.141841,0.137309,0.860481,50.6184,14.4414,6.3188,0.9831,0.4427,0.5647
248,0.143173,0.141912,0.126087,0.858706,49.7591,14.4547,6.2838,1.0059,0.4534,0.5749
249,0.142975,0.141590,0.138562,0.858094,50.1629,14.4569,6.3047,1.0002,0.4621,0.5680
250,0.143001,0.141659,0.134137,0.858912,50.1351,14.4987,6.2805,1.0420,0.4595,0.5779
251,0.143091,0.141682,0.140822,0.857230,49.8070,14.5347,6.3401,1.0135,0.4215,0.5677
252,0.142884,0.141622,0.126206,0.859194,50.4736,14.5788,6.3157,1.0282,0.4407,0.5720
253,0.142833,0.141467,0.136607,0.856597,49.9411,14.5379,6.3199,1.0555,0.4426,0.5744
254,0.142784,0.141454,0.133028,0.860124,50.0663,14.5036,6.3174,1.0461,0.4521,0.5694
255,0.142980,0.141568,0.141280,0.856751,49.9333,14.4466,6.3176,1.0158,0.4664,0.5753
256,0.142843,0.141597,0.124549,0.860810,50.1536,14.5239,6.3186,1.0301,0.4814,0.5747
257,0.143097,0.141784,0.131356,0.856049,49.9331,14.5158,6.3180,1.0383,0.4367,0.5794
258,0.142926,0.141507,0.141959,0.860346,50.3548,14.6090,6.3345,1.0445,0.4540,0.5738
259,0.142897,0.141644,0.125226,0.855524,50.0362,14.5807,6.3440,1.0696,0.4713,0.5756
260,0.142850,0.141349,0.150089,0.859972,50.3316,14.6233,6.3606,1.0867,0.4688,0.5726
261,0.143012,0.141689,0.132261,0.854764,49.8620,14.6180,6.3899,1.0536,0.5034,0.5696
262,0.142741,0.141295,0.144628,0.860552,51.1675,14.6530,6.3646,1.0552,0.4493,0.5762
263,0.143120,0.141736,0.138325,0.856753,50.7969,14.5940,6.3545,1.0469,0.4393,0.5687
