epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta
156,0.337366,0.227505,2.197233,1.556897,103.0559,2.5716,9.0614,0.2940
157,0.338132,0.229719,2.168258,1.560088,102.5083,2.6421,8.9360,0.2629
158,0.339002,0.230422,2.171602,1.560948,102.9421,2.6251,9.2477,0.2948
159,0.338859,0.230249,2.172197,1.558511,102.3455,2.6536,9.2219,0.2789
160,0.338788,0.228460,2.206561,1.552484,102.6527,2.5817,9.0426,0.3173
161,0.337796,0.227411,2.207697,1.553425,102.6790,2.5091,9.0670,0.2798
162,0.337850,0.230079,2.155416,1.559694,102.4873,2.5362,9.1484,0.2890
163,0.337552,0.228839,2.174267,1.556877,102.6605,2.5464,9.0058,0.3045
164,0.337775,0.229110,2.173300,1.557514,102.3423,2.5514,9.0667,0.2900
165,0.337690,0.229119,2.171439,1.557356,102.6480,2.6279,8.9263,0.3050
166,0.338318,0.229524,2.175871,1.557839,102.9133,2.6460,9.2643,0.2734
167,0.338601,0.230083,2.170349,1.557087,102.6208,2.6456,9.2178,0.2847
168,0.338174,0.227638,2.210715,1.549506,102.5451,2.4996,8.9822,0.3310
169,0.336798,0.226759,2.200782,1.551730,102.4885,2.5435,9.1127,0.3098
170,0.337504,0.229358,2.162917,1.556456,102.3678,2.5366,9.1446,0.2971
171,0.336729,0.226336,2.207856,1.550972,102.8815,2.5617,9.0253,0.3109
172,0.336920,0.226951,2.199380,1.552529,102.5116,2.5682,9.0718,0.2986
173,0.337526,0.228716,2.176206,1.555313,102.4874,2.6344,8.9638,0.3207
174,0.338092,0.228949,2.182859,1.555252,102.7373,2.6510,9.3002,0.2876
175,0.338364,0.229506,2.177170,1.554474,102.4186,2.6507,9.2456,0.2832
176,0.338214,0.227824,2.207816,1.548398,102.5162,2.5793,9.0634,0.3305
177,0.337043,0.226494,2.210986,1.549371,103.0648,2.5002,9.1024,0.3212
178,0.336525,0.227236,2.185784,1.551720,102.4788,2.5448,9.1921,0.3099
179,0.337215,0.228822,2.167858,1.553950,102.3629,2.6343,9.0799,0.2812
180,0.337741,0.228203,2.190762,1.552193,102.6705,2.5229,9.0807,0.3301
181,0.336923,0.228241,2.173636,1.553334,102.6104,2.5566,9.1489,0.3144
182,0.337148,0.228526,2.172435,1.553169,102.1636,2.5895,9.2387,0.2949
183,0.336790,0.226569,2.204425,1.548427,102.6210,2.5201,9.0248,0.3364
184,0.336424,0.226806,2.192362,1.550975,102.7419,2.5609,9.1226,0.3161
185,0.336530,0.226342,2.203761,1.549242,102.5029,2.6169,9.1461,0.2987
186,0.337001,0.226284,2.214326,1.545366,102.4956,2.6721,9.3358,0.2930
187,0.337834,0.228807,2.180533,1.551537,102.9484,2.6127,9.0698,0.2974
188,0.337605,0.227719,2.197724,1.550190,102.7117,2.5618,9.1747,0.2806
189,0.336911,0.228277,2.172685,1.551903,102.5756,2.5832,9.2139,0.2687
190,0.337299,0.228960,2.166773,1.551858,102.5984,2.6096,9.2909,0.2840
191,0.337495,0.228801,2.173874,1.550804,102.2850,2.5935,9.3230,0.2802
192,0.337662,0.229567,2.161891,1.552431,102.3928,2.6274,9.2965,0.3220
193,0.337280,0.226871,2.208189,1.543852,102.4008,2.4859,9.0424,0.3245
194,0.336058,0.226299,2.195189,1.547085,102.3403,2.5271,9.1707,0.3147
195,0.336107,0.226637,2.189399,1.547771,102.4154,2.5377,9.2280,0.3086
196,0.336290,0.226655,2.192698,1.548162,102.5038,2.5463,9.0558,0.3332
197,0.336642,0.228108,2.170677,1.551189,102.4725,2.5579,9.1769,0.3260
198,0.336780,0.227751,2.180593,1.549700,102.3717,2.6277,9.3150,0.2761
199,0.337226,0.228246,2.179589,1.549230,102.5424,2.6173,9.1241,0.2699
200,0.337180,0.228311,2.177368,1.549994,102.7032,2.6193,9.2145,0.2930
201,0.336964,0.228259,2.174097,1.549507,102.8188,2.5122,9.1626,0.3186
202,0.336050,0.226119,2.198618,1.546309,102.3877,2.6049,9.2012,0.3008
203,0.336416,0.225736,2.213601,1.541351,102.2822,2.5512,9.2942,0.3275
204,0.335972,0.226317,2.193104,1.545672,102.7561,2.5459,9.0628,0.3035
205,0.335893,0.226043,2.197000,1.546075,102.6765,2.6623,9.2549,0.2804
